08-11-2026 15:25:23 RAM 6752/7607MB (lfb 1x2MB) SWAP 158/16384MB (cached 87MB) CPU [8%@729,10%@729,2%@729,1%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@61.156C soc2@60.468C soc0@61.125C gpu@62.468C tj@62.468C soc1@60.187C VDD_IN 16255mW/14814mW VDD_CPU_GPU_CV 6932mW/6142mW VDD_SOC 4165mW/3789mW
08-11-2026 15:25:24 RAM 6753/7607MB (lfb 1x2MB) SWAP 158/16384MB (cached 87MB) CPU [10%@729,7%@729,1%@729,1%@729,2%@729,1%@729] GR3D_FREQ 99% cpu@61.125C soc2@60.312C soc0@61.187C gpu@62.375C tj@62.375C soc1@60.187C VDD_IN 16176mW/14837mW VDD_CPU_GPU_CV 6893mW/6155mW VDD_SOC 4126mW/3794mW
08-11-2026 15:25:25 RAM 6753/7607MB (lfb 1x2MB) SWAP 158/16384MB (cached 87MB) CPU [2%@729,10%@729,1%@729,1%@729,5%@729,1%@729] GR3D_FREQ 99% cpu@61.218C soc2@60.343C soc0@61.031C gpu@62.468C tj@62.468C soc1@60.281C VDD_IN 15901mW/14855mW VDD_CPU_GPU_CV 6747mW/6165mW VDD_SOC 4093mW/3799mW
08-11-2026 15:25:26 RAM 6756/7607MB (lfb 1x2MB) SWAP 160/16384MB (cached 89MB) CPU [2%@1113,5%@1113,2%@1113,17%@1113,17%@729,5%@729] GR3D_FREQ 99% cpu@61.718C soc2@60.281C soc0@61.093C gpu@62.375C tj@62.375C soc1@60.343C VDD_IN 16098mW/14876mW VDD_CPU_GPU_CV 6893mW/6177mW VDD_SOC 4086mW/3804mW
08-11-2026 15:25:27 RAM 6752/7607MB (lfb 1x2MB) SWAP 160/16384MB (cached 89MB) CPU [1%@729,1%@729,5%@729,3%@729,6%@729,11%@729] GR3D_FREQ 99% cpu@61.093C soc2@60.312C soc0@61.125C gpu@62.281C tj@62.281C soc1@60.312C VDD_IN 15980mW/14894mW VDD_CPU_GPU_CV 6787mW/6187mW VDD_SOC 4093mW/3809mW
08-11-2026 15:25:28 RAM 6753/7607MB (lfb 1x2MB) SWAP 160/16384MB (cached 89MB) CPU [2%@729,2%@729,2%@729,1%@729,16%@729,0%@729] GR3D_FREQ 98% cpu@61.187C soc2@60.406C soc0@61.156C gpu@62.281C tj@62.281C soc1@60.218C VDD_IN 16137mW/14914mW VDD_CPU_GPU_CV 6854mW/6198mW VDD_SOC 4165mW/3815mW
08-11-2026 15:25:29 RAM 6753/7607MB (lfb 1x2MB) SWAP 160/16384MB (cached 89MB) CPU [2%@729,1%@729,1%@729,2%@729,8%@729,9%@729] GR3D_FREQ 99% cpu@61.093C soc2@60.312C soc0@61.25C gpu@62.437C tj@62.687C soc1@60.156C VDD_IN 16176mW/14934mW VDD_CPU_GPU_CV 6854mW/6209mW VDD_SOC 4165mW/3820mW
08-11-2026 15:25:30 RAM 6753/7607MB (lfb 1x2MB) SWAP 160/16384MB (cached 89MB) CPU [2%@729,1%@729,1%@729,1%@729,16%@729,3%@729] GR3D_FREQ 99% cpu@61.187C soc2@60.343C soc0@61.062C gpu@62.718C tj@62.718C soc1@60.25C VDD_IN 16216mW/14954mW VDD_CPU_GPU_CV 6893mW/6219mW VDD_SOC 4165mW/3826mW
08-11-2026 15:25:31 RAM 6753/7607MB (lfb 1x2MB) SWAP 160/16384MB (cached 89MB) CPU [1%@729,1%@729,1%@729,0%@729,13%@729,1%@729] GR3D_FREQ 99% cpu@61.343C soc2@60.375C soc0@61.125C gpu@62.5C tj@62.5C soc1@60.343C VDD_IN 15809mW/14968mW VDD_CPU_GPU_CV 6669mW/6226mW VDD_SOC 4093mW/3830mW
08-11-2026 15:25:32 RAM 6756/7607MB (lfb 1x2MB) SWAP 160/16384MB (cached 89MB) CPU [15%@729,7%@729,4%@729,8%@729,13%@729,0%@729] GR3D_FREQ 99% cpu@61.093C soc2@60.343C soc0@61.125C gpu@62.5C tj@62.5C soc1@60.406C VDD_IN 15690mW/14978mW VDD_CPU_GPU_CV 6590mW/6232mW VDD_SOC 4054mW/3833mW
