read_id	mean_q	model
c82e6f42-5505-40de-aa4b-b1f39a53a522	9.103	hac
dcb3ad09-2812-4873-9f00-4ef3adfaf200	24.236	fast
2b0ae5ec-479b-41f3-9cd6-eabb0f733d46	8.126	hac
6b89fce2-e01d-4dea-8043-77aa82ca4de8	24.802	fast
b5ee0e86-511b-4372-8d39-059eb3a50650	22.220	fast
0bd60fd3-aa20-4ee7-b7c2-64a079948f04	22.688	fast
5f5b4a29-c3e7-4f87-94e6-b1b3c3ab6581	8.028	hac
60b4aad1-9c62-4a1d-bfea-a0ec39c19841	5.951	hac
291d5527-f54b-4385-80ca-1c34d60e8d22	25.518	fast
f740ab20-ec12-457c-9ac4-65e800266002	7.428	hac
5beac3cf-64a5-4aec-877f-a24c0e71ace4	7.326	hac
714d2aab-fdd1-4628-b538-2f5f4bf5b883	4.921	hac
f7274545-44b8-466d-b181-fd82fef2e8a6	23.756	fast
e89e97e4-6a3b-4d4a-a2a0-7f43c962d8a3	16.021	fast
e87b30b6-9795-4c44-a1a4-bb2c04b73bc9	24.588	fast
b9021754-4173-4652-86be-6dc9d14b644e	19.105	fast
71a95728-75f5-4984-9b58-62cffe33cb36	7.123	hac
9b595c9f-ee92-4b40-8b81-55100d7557ae	17.122	fast
a67ca670-5215-42bb-8ba2-eb962e2e68ca	23.289	fast
305b0816-1879-450f-bbe8-f10684c7f764	22.791	fast
c0100185-17b7-40eb-80e4-7a78c80db59d	25.089	fast
22a27643-25ca-4e0e-a30d-4f8f35ea7b72	11.087	fast
0208f5a4-114a-4bbf-8fc0-007dca36ae0d	23.057	fast
ce33ee7a-f52d-4445-817c-5b67027ed1b2	21.905	fast
10b71499-6b22-4869-aa19-b413f3ce33ed	18.910	fast
2082d0dd-d218-4aa9-a638-3058027720ef	10.109	fast
a824e48b-dd0e-4221-8bb0-4ddab5a35542	24.407	fast
bf74e052-078b-4965-b5ca-7192fb67c676	7.743	hac
d523ed60-3972-4340-b691-7cc020b81277	16.902	fast
